,Region,Country/Territory,2011,2021,Type,2015,2019,2010,Country Code,Year,Value,2017
121,South and Central America,Panama,9.4,8.2,Country,9.4,7.7,9.6,PAN,2017,8.33,8.3
122,Western Pacific,Papua New Guinea,7.6,16.7,Country,12.0,17.9,3.0,PNG,2017,17.65,17.6
123,South and Central America,Paraguay,6.5,7.5,Country,8.4,9.6,4.9,PRY,2017,8.27,8.3
124,South and Central America,Peru,6.0,4.8,Country,6.4,6.6,6.2,PER,2017,5.95,6.0
125,Western Pacific,Philippines,9.7,7.1,Country,6.1,7.1,7.7,PHL,2017,7.07,7.1
126,Europe,Poland,9.0,6.8,Country,7.6,6.1,7.6,POL,2017,5.91,5.9
127,Europe,Portugal,9.6,9.1,Country,13.0,9.8,9.7,PRT,2017,9.85,9.8
128,South and Central America,Puerto Rico,13.0,13.3,Country,14.0,13.7,10.6,PRI,2017,12.9,12.9
129,Middle East and North Africa,Qatar,19.8,19.5,Country,13.0,15.6,15.4,QAT,2017,16.52,16.5
130,Europe,Romania,7.7,6.5,Country,10.0,6.9,6.9,ROU,2017,9.74,9.7
